Município;Dose;Total Doses Aplicadas
SALTO DE PIRAPORA;2° DOSE;37665
SALTO;2° DOSE;103820
SALTINHO;2° DOSE;7327
SALMOURÃO;2° DOSE;4192
SALESÓPOLIS;2° DOSE;15280
SALES OLIVEIRA;2° DOSE;10007
SALES;2° DOSE;5672
SAGRES;2° DOSE;2113
SABINO;2° DOSE;4698
RUBINÉIA;2° DOSE;2992
RUBIÁCEA;2° DOSE;2559
ROSEIRA;2° DOSE;9032
ROSANA;2° DOSE;14761
RIVERSUL;2° DOSE;5321
RIOLÂNDIA;2° DOSE;10035
RIO GRANDE DA SERRA;2° DOSE;29812
RIO DAS PEDRAS;2° DOSE;26341
RIO CLARO;2° DOSE;172582
RINÓPOLIS;2° DOSE;7754
RINCÃO;2° DOSE;8262
RIFAINA;2° DOSE;3803
RIBEIRÃO PRETO;2° DOSE;565674
RIBEIRÃO PIRES;2° DOSE;98337
RIBEIRÃO GRANDE;2° DOSE;7220
RIBEIRÃO DOS ÍNDIOS;2° DOSE;1945
RIBEIRÃO DO SUL;2° DOSE;4199
RIBEIRÃO CORRENTE;2° DOSE;4176
RIBEIRÃO BRANCO;2° DOSE;16399
RIBEIRÃO BONITO;2° DOSE;10233
RIBEIRA;2° DOSE;3072
RESTINGA;2° DOSE;6204
REGISTRO;2° DOSE;51897
REGINÓPOLIS;2° DOSE;8574
REGENTE FEIJÓ;2° DOSE;17345
REDENÇÃO DA SERRA;2° DOSE;3636
RANCHARIA;2° DOSE;25801
RAFARD;2° DOSE;8031
QUINTANA;2° DOSE;5967
QUELUZ;2° DOSE;8027
QUEIROZ;2° DOSE;3015
QUATÁ;2° DOSE;11668
QUADRA;2° DOSE;3273
PROMISSÃO;2° DOSE;30373
PRESIDENTE VENCESLAU;2° DOSE;30046
PRESIDENTE PRUDENTE;2° DOSE;197665
PRESIDENTE EPITÁCIO;2° DOSE;33152
PRESIDENTE BERNARDES;2° DOSE;13604
PRESIDENTE ALVES;2° DOSE;3509
PRATÂNIA;2° DOSE;5007
PRAIA GRANDE;2° DOSE;282554
PRADÓPOLIS;2° DOSE;15660
PRACINHA;2° DOSE;2894
POTIRENDABA;2° DOSE;15142
POTIM;2° DOSE;19235
PORTO FERREIRA;2° DOSE;46020
PORTO FELIZ;2° DOSE;47157
PORANGABA;2° DOSE;8393
POPULINA;2° DOSE;3862
PONTES GESTAL;2° DOSE;2293
PONTALINDA;2° DOSE;3593
PONTAL;2° DOSE;33459
PONGAÍ;2° DOSE;3082
POMPÉIA;2° DOSE;17599
POLONI;2° DOSE;5399
POÁ;2° DOSE;93498
PLATINA;2° DOSE;2881
PLANALTO;2° DOSE;4003
PITANGUEIRAS;2° DOSE;29331
PIRATININGA;2° DOSE;12471
PIRASSUNUNGA;2° DOSE;61632
PIRAPOZINHO;2° DOSE;21499
PIRAPORA DO BOM JESUS;2° DOSE;15961
PIRANGI;2° DOSE;9465
PIRAJUÍ;2° DOSE;19173
PIRAJU;2° DOSE;25845
PIRACICABA;2° DOSE;350792
PIRACAIA;2° DOSE;25072
PIQUETE;2° DOSE;11018
PIQUEROBI;2° DOSE;2929
PINHALZINHO;2° DOSE;13581
PINDORAMA;2° DOSE;12669
PINDAMONHANGABA;2° DOSE;134607
PILAR DO SUL;2° DOSE;25533
PIEDADE;2° DOSE;47472
PIACATU;2° DOSE;4838
PERUÍBE;2° DOSE;64301
PEREIRAS;2° DOSE;7204
PEREIRA BARRETO;2° DOSE;21091
PENÁPOLIS;2° DOSE;51649
PEDRO DE TOLEDO;2° DOSE;8776
PEDRINHAS PAULISTA;2° DOSE;2663
PEDREIRA;2° DOSE;38849
PEDREGULHO;2° DOSE;14147
PEDRANÓPOLIS;2° DOSE;2571
PEDRA BELA;2° DOSE;5910
PEDERNEIRAS;2° DOSE;37406
PAULO DE FARIA;2° DOSE;7598
PAULISTÂNIA;2° DOSE;1842
PAULÍNIA;2° DOSE;90394
PAULICÉIA;2° DOSE;6388
PATROCÍNIO PAULISTA;2° DOSE;12741
PARISI;2° DOSE;2423
PARIQUERA-AÇU;2° DOSE;17483
PARDINHO;2° DOSE;6211
PARAPUÃ;2° DOSE;9062
PARANAPUÃ;2° DOSE;3765
PARANAPANEMA;2° DOSE;17167
PARAÍSO;2° DOSE;5112
PARAIBUNA;2° DOSE;15188
PARAGUAÇU PAULISTA;2° DOSE;36652
PANORAMA;2° DOSE;12214
PALMITAL;2° DOSE;18833
PALMEIRA D'OESTE;2° DOSE;8253
PALMARES PAULISTA;2° DOSE;8360
PALESTINA;2° DOSE;9652
PACAEMBU;2° DOSE;13785
OUROESTE;2° DOSE;9098
OURO VERDE;2° DOSE;6634
OURINHOS;2° DOSE;88582
OSVALDO CRUZ;2° DOSE;27764
OSCAR BRESSANE;2° DOSE;2325
OSASCO;2° DOSE;625365
ORLÂNDIA;2° DOSE;33570
ORINDIÚVA;2° DOSE;5626
ORIENTE;2° DOSE;5482
ONDA VERDE;2° DOSE;4100
OLÍMPIA;2° DOSE;48794
ÓLEO;2° DOSE;2635
OCAUÇU;2° DOSE;3965
NUPORANGA;2° DOSE;6533
NOVO HORIZONTE;2° DOSE;33519
NOVAIS;2° DOSE;3630
NOVA ODESSA;2° DOSE;47982
NOVA LUZITÂNIA;2° DOSE;2552
NOVA INDEPENDÊNCIA;2° DOSE;4990
NOVA GUATAPORANGA;2° DOSE;2050
NOVA GRANADA;2° DOSE;17460
NOVA EUROPA;2° DOSE;8308
NOVA CASTILHO;2° DOSE;1021
NOVA CANAÃ PAULISTA;2° DOSE;1806
NOVA CAMPINA;2° DOSE;8048
NOVA ALIANÇA;2° DOSE;6198
NIPOÃ;2° DOSE;4210
NHANDEARA;2° DOSE;8978
NEVES PAULISTA;2° DOSE;8342
NAZARÉ PAULISTA;2° DOSE;15811
NATIVIDADE DA SERRA;2° DOSE;5822
NARANDIBA;2° DOSE;4900
NÃO INFORMADO;2° DOSE;127685
NANTES;2° DOSE;2442
MURUTINGA DO SUL;2° DOSE;3476
MOTUCA;2° DOSE;3752
MORUNGABA;2° DOSE;12514
MORRO AGUDO;2° DOSE;24171
MONTEIRO LOBATO;2° DOSE;3802
MONTE MOR;2° DOSE;53078
MONTE CASTELO;2° DOSE;3590
MONTE AZUL PAULISTA;2° DOSE;15957
MONTE APRAZÍVEL;2° DOSE;19400
MONTE ALTO;2° DOSE;41782
MONTE ALEGRE DO SUL;2° DOSE;6678
MONGAGUÁ;2° DOSE;50184
MONÇÕES;2° DOSE;1870
MOMBUCA;2° DOSE;3388
MOGI MIRIM;2° DOSE;81032
MOGI GUAÇU;2° DOSE;125835
MOGI DAS CRUZES;2° DOSE;366463
MOCOCA;2° DOSE;60437
MIRASSOLÂNDIA;2° DOSE;4500
MIRASSOL;2° DOSE;51736
MIRANTE DO PARANAPANEMA;2° DOSE;13744
MIRANDÓPOLIS;2° DOSE;24625
MIRACATU;2° DOSE;16469
MIRA ESTRELA;2° DOSE;2735
MINEIROS DO TIETÊ;2° DOSE;9989
MIGUELÓPOLIS;2° DOSE;17115
MESÓPOLIS;2° DOSE;1916
MERIDIANO;2° DOSE;3766
MENDONÇA;2° DOSE;5583
MAUÁ;2° DOSE;350177
MATÃO;2° DOSE;72399
MARTINÓPOLIS;2° DOSE;22538
MARINÓPOLIS;2° DOSE;1748
MARÍLIA;2° DOSE;199109
MARIÁPOLIS;2° DOSE;3160
MARAPOAMA;2° DOSE;2816
MARACAÍ;2° DOSE;11376
MARABÁ PAULISTA;2° DOSE;4504
MANDURI;2° DOSE;8833
MAIRIPORÃ;2° DOSE;76890
MAIRINQUE;2° DOSE;46173
MAGDA;2° DOSE;2840
MACEDÔNIA;2° DOSE;3497
MACAUBAL;2° DOSE;6658
MACATUBA;2° DOSE;14183
LUTÉCIA;2° DOSE;2388
LUPÉRCIO;2° DOSE;3610
LUIZIÂNIA;2° DOSE;4352
LUÍS ANTÔNIO;2° DOSE;10726
LUCIANÓPOLIS;2° DOSE;2339
LUCÉLIA;2° DOSE;17792
LOUVEIRA;2° DOSE;44835
LOURDES;2° DOSE;2022
LORENA;2° DOSE;68868
LINS;2° DOSE;64233
LINDÓIA;2° DOSE;6208
LIMEIRA;2° DOSE;240110
LENÇÓIS PAULISTA;2° DOSE;55453
LEME;2° DOSE;84453
LAVRINHAS;2° DOSE;5358
LAVÍNIA;2° DOSE;10492
LARANJAL PAULISTA;2° DOSE;24681
LAGOINHA;2° DOSE;5019
JUQUITIBA;2° DOSE;26387
JUQUIÁ;2° DOSE;14891
JUNQUEIRÓPOLIS;2° DOSE;17969
JUNDIAÍ;2° DOSE;377612
JUMIRIM;2° DOSE;3094
JÚLIO MESQUITA;2° DOSE;3814
JOSÉ BONIFÁCIO;2° DOSE;31264
JOÃO RAMALHO;2° DOSE;3801
JOANÓPOLIS;2° DOSE;11571
JERIQUARA;2° DOSE;3167
JAÚ;2° DOSE;111634
JARINU;2° DOSE;29583
JARDINÓPOLIS;2° DOSE;36968
JANDIRA;2° DOSE;97816
JAMBEIRO;2° DOSE;5141
JALES;2° DOSE;41720
JAGUARIÚNA;2° DOSE;51437
JACUPIRANGA;2° DOSE;13187
JACI;2° DOSE;6924
JACAREÍ;2° DOSE;195215
JABOTICABAL;2° DOSE;63577
JABORANDI;2° DOSE;5506
ITUVERAVA;2° DOSE;32397
ITUPEVA;2° DOSE;56304
ITU;2° DOSE;151337
ITOBI;2° DOSE;6643
ITIRAPUÃ;2° DOSE;5329
ITIRAPINA;2° DOSE;14881
ITATINGA;2° DOSE;16960
ITATIBA;2° DOSE;99603
ITARIRI;2° DOSE;12443
ITARARÉ;2° DOSE;40088
ITAQUAQUECETUBA;2° DOSE;290344
ITAPURA;2° DOSE;3516
ITAPUÍ;2° DOSE;11320
ITAPORANGA;2° DOSE;12968
ITÁPOLIS;2° DOSE;34017
ITAPIRAPUÃ PAULISTA;2° DOSE;4002
ITAPIRA;2° DOSE;63710
ITAPEVI;2° DOSE;192010
ITAPEVA;2° DOSE;81423
ITAPETININGA;2° DOSE;132239
ITAPECERICA DA SERRA;2° DOSE;135504
ITAOCA;2° DOSE;3245
ITANHAÉM;2° DOSE;96128
ITAJU;2° DOSE;3003
ITAJOBI;2° DOSE;14338
ITAÍ;2° DOSE;23457
ITABERÁ;2° DOSE;16517
IRAPURU;2° DOSE;6960
IRAPUÃ;2° DOSE;6176
IRACEMÁPOLIS;2° DOSE;19014
IPUÃ;2° DOSE;12764
IPORANGA;2° DOSE;3431
IPIGUÁ;2° DOSE;5213
IPEÚNA;2° DOSE;5496
IPERÓ;2° DOSE;28424
IPAUSSU;2° DOSE;11509
INÚBIA PAULISTA;2° DOSE;3272
INDIAPORÃ;2° DOSE;3723
INDIANA;2° DOSE;4263
INDAIATUBA;2° DOSE;227230
ILHABELA;2° DOSE;33968
ILHA SOLTEIRA;2° DOSE;23133
ILHA COMPRIDA;2° DOSE;11639
IGUAPE;2° DOSE;25263
IGARATÁ;2° DOSE;9851
IGARAPAVA;2° DOSE;22594
IGARAÇU DO TIETÊ;2° DOSE;19930
IEPÊ;2° DOSE;6979
ICÉM;2° DOSE;6847
IBIÚNA;2° DOSE;65717
IBITINGA;2° DOSE;49385
IBIRAREMA;2° DOSE;5801
IBIRÁ;2° DOSE;10345
IBATÉ;2° DOSE;28718
IARAS;2° DOSE;8005
IACRI;2° DOSE;5578
IACANGA;2° DOSE;9611
HORTOLÂNDIA;2° DOSE;195421
HOLAMBRA;2° DOSE;14044
HERCULÂNDIA;2° DOSE;7187
GUZOLÂNDIA;2° DOSE;4023
GUATAPARÁ;2° DOSE;6771
GUARULHOS;2° DOSE;1099435
GUARUJÁ;2° DOSE;247204
GUARIBA;2° DOSE;32808
GUAREÍ;2° DOSE;13475
GUARATINGUETÁ;2° DOSE;99270
GUARAREMA;2° DOSE;28023
GUARARAPES;2° DOSE;26802
GUARANTÃ;2° DOSE;5457
GUARANI D'OESTE;2° DOSE;1867
GUARACI;2° DOSE;9096
GUARAÇAÍ;2° DOSE;6688
GUARÁ;2° DOSE;16585
GUAPIARA;2° DOSE;15532
GUAPIAÇU;2° DOSE;18469
GUAÍRA;2° DOSE;35279
GUAIMBÊ;2° DOSE;4803
GUAIÇARA;2° DOSE;9899
GLICÉRIO;2° DOSE;3790
GETULINA;2° DOSE;9224
GENERAL SALGADO;2° DOSE;8983
GAVIÃO PEIXOTO;2° DOSE;4338
GASTÃO VIDIGAL;2° DOSE;3075
GARÇA;2° DOSE;36039
GÁLIA;2° DOSE;6018
GABRIEL MONTEIRO;2° DOSE;2546
FRANCO DA ROCHA;2° DOSE;130929
FRANCISCO MORATO;2° DOSE;143921
FRANCA;2° DOSE;287485
FLORÍNEA;2° DOSE;4142
FLÓRIDA PAULISTA;2° DOSE;10686
FLOREAL;2° DOSE;2636
FLORA RICA;2° DOSE;1391
FERRAZ DE VASCONCELOS;2° DOSE;136008
FERNÃO;2° DOSE;1596
FERNANDÓPOLIS;2° DOSE;62613
FERNANDO PRESTES;2° DOSE;5418
FARTURA;2° DOSE;14144
EUCLIDES DA CUNHA PAULISTA;2° DOSE;6770
ESTRELA DO NORTE;2° DOSE;2470
ESTRELA D'OESTE;2° DOSE;7811
ESTIVA GERBI;2° DOSE;9089
ESPÍRITO SANTO DO TURVO;2° DOSE;4291
ESPÍRITO SANTO DO PINHAL;2° DOSE;35959
ENGENHEIRO COELHO;2° DOSE;16514
EMILIANÓPOLIS;2° DOSE;2724
EMBU-GUAÇU;2° DOSE;56297
EMBU DAS ARTES;2° DOSE;218803
EMBAÚBA;2° DOSE;2007
ELISIÁRIO;2° DOSE;2869
ELIAS FAUSTO;2° DOSE;15470
ELDORADO;2° DOSE;11261
ECHAPORÃ;2° DOSE;5611
DUMONT;2° DOSE;8876
DUARTINA;2° DOSE;11284
DRACENA;2° DOSE;39112
DOURADO;2° DOSE;7885
DOLCINÓPOLIS;2° DOSE;2228
DOIS CÓRREGOS;2° DOSE;21367
DOBRADA;2° DOSE;7318
DIVINOLÂNDIA;2° DOSE;10872
DIRCE REIS;2° DOSE;1598
DIADEMA;2° DOSE;350887
DESCALVADO;2° DOSE;28808
CUNHA;2° DOSE;19100
CUBATÃO;2° DOSE;93166
CRUZEIRO;2° DOSE;66227
CRUZÁLIA;2° DOSE;1934
CRISTAIS PAULISTA;2° DOSE;7776
CRAVINHOS;2° DOSE;29477
COTIA;2° DOSE;212915
COSMORAMA;2° DOSE;7690
COSMÓPOLIS;2° DOSE;46977
CORUMBATAÍ;2° DOSE;3675
CORONEL MACEDO;2° DOSE;4255
COROADOS;2° DOSE;4759
CORDEIRÓPOLIS;2° DOSE;21585
CONCHAS;2° DOSE;14059
CONCHAL;2° DOSE;24102
COLÔMBIA;2° DOSE;6078
COLINA;2° DOSE;15540
CLEMENTINA;2° DOSE;6226
CHAVANTES;2° DOSE;10489
CHARQUEADA;2° DOSE;14176
CESÁRIO LANGE;2° DOSE;15838
CERQUILHO;2° DOSE;40210
CERQUEIRA CÉSAR;2° DOSE;20578
CEDRAL;2° DOSE;9159
CATIGUÁ;2° DOSE;6491
CATANDUVA;2° DOSE;99749
CASTILHO;2° DOSE;17008
CÁSSIA DOS COQUEIROS;2° DOSE;2511
CASA BRANCA;2° DOSE;24279
CARDOSO;2° DOSE;10572
CARAPICUÍBA;2° DOSE;334007
CARAGUATATUBA;2° DOSE;106990
CAPIVARI;2° DOSE;43660
CAPELA DO ALTO;2° DOSE;20308
CAPÃO BONITO;2° DOSE;40604
CANITAR;2° DOSE;4564
CÂNDIDO RODRIGUES;2° DOSE;2667
CÂNDIDO MOTA;2° DOSE;25547
CANAS;2° DOSE;3766
CANANÉIA;2° DOSE;11180
CAMPOS NOVOS PAULISTA;2° DOSE;4179
CAMPOS DO JORDÃO;2° DOSE;45301
CAMPO LIMPO PAULISTA;2° DOSE;66501
CAMPINAS;2° DOSE;1009939
CAMPINA DO MONTE ALEGRE;2° DOSE;5561
CAJURU;2° DOSE;20325
CAJOBI;2° DOSE;8280
CAJATI;2° DOSE;24495
CAJAMAR;2° DOSE;81043
CAIUÁ;2° DOSE;6612
CAIEIRAS;2° DOSE;81198
CAIABU;2° DOSE;3315
CAFELÂNDIA;2° DOSE;14118
CACONDE;2° DOSE;15476
CACHOEIRA PAULISTA;2° DOSE;25251
CAÇAPAVA;2° DOSE;79198
CABREÚVA;2° DOSE;43070
CABRÁLIA PAULISTA;2° DOSE;3842
BURITIZAL;2° DOSE;3551
BURITAMA;2° DOSE;14911
BURI;2° DOSE;17460
BROTAS;2° DOSE;20560
BRODOWSKI;2° DOSE;21248
BREJO ALEGRE;2° DOSE;2306
BRAÚNA;2° DOSE;4587
BRAGANÇA PAULISTA;2° DOSE;155567
BOTUCATU;2° DOSE;144562
BOREBI;2° DOSE;2262
BORBOREMA;2° DOSE;13048
BORACÉIA;2° DOSE;4153
BORÁ;2° DOSE;867
BOM SUCESSO DE ITARARÉ;2° DOSE;3428
BOM JESUS DOS PERDÕES;2° DOSE;20834
BOITUVA;2° DOSE;50710
BOFETE;2° DOSE;9243
BOCAINA;2° DOSE;9982
BOA ESPERANÇA DO SUL;2° DOSE;11747
BIRITIBA MIRIM;2° DOSE;25695
BIRIGUI;2° DOSE;97271
BILAC;2° DOSE;6585
BERTIOGA;2° DOSE;57233
BERNARDINO DE CAMPOS;2° DOSE;10795
BENTO DE ABREU;2° DOSE;2295
BEBEDOURO;2° DOSE;65646
BAURU;2° DOSE;319985
BATATAIS;2° DOSE;51756
BASTOS;2° DOSE;19728
BARUERI;2° DOSE;254217
BARRINHA;2° DOSE;25867
BARRETOS;2° DOSE;107217
BARRA DO TURVO;2° DOSE;6216
BARRA DO CHAPÉU;2° DOSE;4857
BARRA BONITA;2° DOSE;31111
BARIRI;2° DOSE;26121
BARBOSA;2° DOSE;5468
BARÃO DE ANTONINA;2° DOSE;3211
BANANAL;2° DOSE;8710
BÁLSAMO;2° DOSE;8219
BALBINOS;2° DOSE;4623
BADY BASSITT;2° DOSE;18147
AVARÉ;2° DOSE;80050
AVANHANDAVA;2° DOSE;10089
AVAÍ;2° DOSE;4675
AURIFLAMA;2° DOSE;11472
ATIBAIA;2° DOSE;131964
ASSIS;2° DOSE;84951
ASPÁSIA;2° DOSE;1703
ARUJÁ;2° DOSE;74479
ARTUR NOGUEIRA;2° DOSE;43862
ARIRANHA;2° DOSE;7055
AREIÓPOLIS;2° DOSE;8398
AREIAS;2° DOSE;3310
AREALVA;2° DOSE;7304
ARCO-ÍRIS;2° DOSE;1902
ARARAS;2° DOSE;112641
ARARAQUARA;2° DOSE;208354
ARAPEÍ;2° DOSE;2213
ARANDU;2° DOSE;5882
ARAMINA;2° DOSE;4882
ARAÇOIABA DA SERRA;2° DOSE;28209
ARAÇATUBA;2° DOSE;168977
ARAÇARIGUAMA;2° DOSE;18587
APIAÍ;2° DOSE;20880
APARECIDA D'OESTE;2° DOSE;4000
APARECIDA;2° DOSE;28359
ANHUMAS;2° DOSE;3571
ANHEMBI;2° DOSE;5427
ANGATUBA;2° DOSE;19821
ANDRADINA;2° DOSE;49003
ANALÂNDIA;2° DOSE;3851
AMPARO;2° DOSE;62472
AMÉRICO DE CAMPOS;2° DOSE;5181
AMÉRICO BRASILIENSE;2° DOSE;30157
AMERICANA;2° DOSE;191915
ALVINLÂNDIA;2° DOSE;2636
ÁLVARO DE CARVALHO;2° DOSE;5750
ÁLVARES MACHADO;2° DOSE;20853
ÁLVARES FLORENCE;2° DOSE;3609
ALUMÍNIO;2° DOSE;15328
ALTO ALEGRE;2° DOSE;3520
ALTINÓPOLIS;2° DOSE;14696
ALTAIR;2° DOSE;3182
ALFREDO MARCONDES;2° DOSE;4201
ALAMBARI;2° DOSE;4992
AGUDOS;2° DOSE;32801
ÁGUAS DE SÃO PEDRO;2° DOSE;3760
ÁGUAS DE SANTA BÁRBARA;2° DOSE;5533
ÁGUAS DE LINDÓIA;2° DOSE;16611
ÁGUAS DA PRATA;2° DOSE;6988
AGUAÍ;2° DOSE;29109
ADOLFO;2° DOSE;4131
ADAMANTINA;2° DOSE;30331
ZACARIAS;1° DOSE;2337
VOTUPORANGA;1° DOSE;88293
VOTORANTIM;1° DOSE;98672
VITÓRIA BRASIL;1° DOSE;1728
VISTA ALEGRE DO ALTO;1° DOSE;7250
VIRADOURO;1° DOSE;16527
VINHEDO;1° DOSE;69451
VERA CRUZ;1° DOSE;9209
VÁRZEA PAULISTA;1° DOSE;100810
VARGEM GRANDE PAULISTA;1° DOSE;45926
VARGEM GRANDE DO SUL;1° DOSE;37985
VARGEM;1° DOSE;9232
VALPARAÍSO;1° DOSE;22256
VALINHOS;1° DOSE;112037
VALENTIM GENTIL;1° DOSE;12599
URUPÊS;1° DOSE;12465
URU;1° DOSE;1316
URÂNIA;1° DOSE;7955
UNIÃO PAULISTA;1° DOSE;1552
UCHOA;1° DOSE;8980
UBIRAJARA;1° DOSE;4863
UBATUBA;1° DOSE;87797
UBARANA;1° DOSE;5148
TURMALINA;1° DOSE;1816
TURIÚBA;1° DOSE;1774
TUPI PAULISTA;1° DOSE;14993
TUPÃ;1° DOSE;58557
TUIUTI;1° DOSE;6090
TRÊS FRONTEIRAS;1° DOSE;5898
TREMEMBÉ;1° DOSE;45031
TRABIJU;1° DOSE;1633
TORRINHA;1° DOSE;8729
TORRE DE PEDRA;1° DOSE;2590
TIMBURI;1° DOSE;2508
TIETÊ;1° DOSE;34673
TERRA ROXA;1° DOSE;7240
TEODORO SAMPAIO;1° DOSE;20512
TEJUPÁ;1° DOSE;4047
TAUBATÉ;1° DOSE;276678
TATUÍ;1° DOSE;111169
TARUMÃ;1° DOSE;13366
TARABAI;1° DOSE;6341
TAQUARIVAÍ;1° DOSE;5719
TAQUARITUBA;1° DOSE;23445
TAQUARITINGA;1° DOSE;48741
TAQUARAL;1° DOSE;2514
TAPIRATIBA;1° DOSE;11595
TAPIRAÍ;1° DOSE;7588
TANABI;1° DOSE;23338
TAMBAÚ;1° DOSE;19508
TAIÚVA;1° DOSE;6048
TAIAÇU;1° DOSE;5324
TAGUAÍ;1° DOSE;11843
TACIBA;1° DOSE;5495
TABOÃO DA SERRA;1° DOSE;250111
TABATINGA;1° DOSE;13279
TABAPUÃ;1° DOSE;10597
SUZANO;1° DOSE;270757
SUZANÁPOLIS;1° DOSE;3195
SUMARÉ;1° DOSE;252445
SUD MENNUCCI;1° DOSE;6868
SOROCABA;1° DOSE;651105
SOCORRO;1° DOSE;36914
SILVEIRAS;1° DOSE;5805
SEVERÍNIA;1° DOSE;13649
SETE BARRAS;1° DOSE;11899
SERTÃOZINHO;1° DOSE;113191
SERRANA;1° DOSE;45410
SERRA NEGRA;1° DOSE;26266
SERRA AZUL;1° DOSE;13161
SEBASTIANÓPOLIS DO SUL;1° DOSE;3188
SARUTAIÁ;1° DOSE;3509
SARAPUÍ;1° DOSE;9454
SÃO VICENTE;1° DOSE;310532
SÃO SIMÃO;1° DOSE;12854
SÃO SEBASTIÃO DA GRAMA;1° DOSE;9860
SÃO SEBASTIÃO;1° DOSE;82365
SÃO ROQUE;1° DOSE;80552
SÃO PEDRO DO TURVO;1° DOSE;6717
SÃO PEDRO;1° DOSE;33522
SÃO PAULO;1° DOSE;11776187
SÃO MIGUEL ARCANJO;1° DOSE;29836
SÃO MANUEL;1° DOSE;33441
SÃO LUIZ DO PARAITINGA;1° DOSE;10304
SÃO LOURENÇO DA SERRA;1° DOSE;14107
SÃO JOSÉ DOS CAMPOS;1° DOSE;642185
SÃO JOSÉ DO RIO PRETO;1° DOSE;435927
SÃO JOSÉ DO RIO PARDO;1° DOSE;49733
SÃO JOSÉ DO BARREIRO;1° DOSE;3763
SÃO JOSÉ DA BELA VISTA;1° DOSE;6846
SÃO JOAQUIM DA BARRA;1° DOSE;43222
SÃO JOÃO DO PAU D'ALHO;1° DOSE;2073
SÃO JOÃO DE IRACEMA;1° DOSE;1741
SÃO JOÃO DAS DUAS PONTES;1° DOSE;2332
SÃO JOÃO DA BOA VISTA;1° DOSE;85191
SÃO FRANCISCO;1° DOSE;2581
SÃO CARLOS;1° DOSE;232988
SÃO CAETANO DO SUL;1° DOSE;147073
SÃO BERNARDO DO CAMPO;1° DOSE;732287
SÃO BENTO DO SAPUCAÍ;1° DOSE;10903
SANTOS;1° DOSE;410032
SANTÓPOLIS DO AGUAPEÍ;1° DOSE;3472
SANTO EXPEDITO;1° DOSE;2787
SANTO ANTÔNIO DO PINHAL;1° DOSE;6712
SANTO ANTÔNIO DO JARDIM;1° DOSE;5633
SANTO ANTÔNIO DO ARACANGUÁ;1° DOSE;7305
SANTO ANTÔNIO DE POSSE;1° DOSE;21330
SANTO ANTÔNIO DA ALEGRIA;1° DOSE;6600
SANTO ANDRÉ;1° DOSE;642708
SANTO ANASTÁCIO;1° DOSE;16777
SANTANA DE PARNAÍBA;1° DOSE;140503
SANTANA DA PONTE PENSA;1° DOSE;1437
SANTA SALETE;1° DOSE;1585
SANTA ROSA DE VITERBO;1° DOSE;22238
SANTA RITA DO PASSA QUATRO;1° DOSE;24154
SANTA RITA D'OESTE;1° DOSE;2495
SANTA MERCEDES;1° DOSE;2907
SANTA MARIA DA SERRA;1° DOSE;5193
SANTA LÚCIA;1° DOSE;6860
SANTA ISABEL;1° DOSE;50427
SANTA GERTRUDES;1° DOSE;21260
SANTA FÉ DO SUL;1° DOSE;31859
SANTA ERNESTINA;1° DOSE;5366
SANTA CRUZ DO RIO PARDO;1° DOSE;43287
SANTA CRUZ DAS PALMEIRAS;1° DOSE;26582
SANTA CRUZ DA ESPERANÇA;1° DOSE;1967
SANTA CRUZ DA CONCEIÇÃO;1° DOSE;4067
SANTA CLARA D'OESTE;1° DOSE;2266
SANTA BRANCA;1° DOSE;12446
SANTA BÁRBARA D'OESTE;1° DOSE;162387
SANTA ALBERTINA;1° DOSE;5740
SANTA ADÉLIA;1° DOSE;12851
SANDOVALINA;1° DOSE;3479
SALTO GRANDE;1° DOSE;8008
SALTO DE PIRAPORA;1° DOSE;39904
SALTO;1° DOSE;110852
SALTINHO;1° DOSE;7680
SALMOURÃO;1° DOSE;4401
SALESÓPOLIS;1° DOSE;16020
SALES OLIVEIRA;1° DOSE;10268
SALES;1° DOSE;5784
SAGRES;1° DOSE;2237
SABINO;1° DOSE;4984
RUBINÉIA;1° DOSE;3172
RUBIÁCEA;1° DOSE;2679
ROSEIRA;1° DOSE;9472
ROSANA;1° DOSE;15672
RIVERSUL;1° DOSE;5399
RIOLÂNDIA;1° DOSE;10657
RIO GRANDE DA SERRA;1° DOSE;37860
RIO DAS PEDRAS;1° DOSE;28236
RIO CLARO;1° DOSE;185622
RINÓPOLIS;1° DOSE;8252
RINCÃO;1° DOSE;8549
RIFAINA;1° DOSE;3946
RIBEIRÃO PRETO;1° DOSE;609230
RIBEIRÃO PIRES;1° DOSE;104489
RIBEIRÃO GRANDE;1° DOSE;7426
RIBEIRÃO DOS ÍNDIOS;1° DOSE;1982
RIBEIRÃO DO SUL;1° DOSE;4308
RIBEIRÃO CORRENTE;1° DOSE;4491
RIBEIRÃO BRANCO;1° DOSE;16814
RIBEIRÃO BONITO;1° DOSE;10683
RIBEIRA;1° DOSE;3221
RESTINGA;1° DOSE;6586
REGISTRO;1° DOSE;55880
REGINÓPOLIS;1° DOSE;8757
REGENTE FEIJÓ;1° DOSE;18149
REDENÇÃO DA SERRA;1° DOSE;3826
RANCHARIA;1° DOSE;26873
RAFARD;1° DOSE;8465
QUINTANA;1° DOSE;6090
QUELUZ;1° DOSE;8957
QUEIROZ;1° DOSE;3173
QUATÁ;1° DOSE;12170
QUADRA;1° DOSE;3519
PROMISSÃO;1° DOSE;31792
PRESIDENTE VENCESLAU;1° DOSE;32037
PRESIDENTE PRUDENTE;1° DOSE;208474
